,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
admiration,1.0,-0.0480353050758436,-0.06013282300886611,-0.07203378296235124,-0.01252938217309424,-0.036012732767064674,-0.04700847032222273,-0.05111075277210716,-0.020179087370332156,-0.04397955985148483,-0.06622482391007822,-0.03800930739172057,-0.02464936793438408,-0.004251679986718133,-0.028951086465340947,0.005929390301125001,-0.01059167980591275,-0.004767212571380559,-0.002120579856658795,-0.0179867407828731,-0.01767204625006122,0.01924230170974559,-0.032187243323009616,-0.01436807296405145,-0.03035851486489663,-0.0489589015223838,-0.02508656663166768,-0.20959215450430282
amusement,-0.0480353050758436,1.0,-0.038484842713269025,-0.041034718780734385,-0.039332696764217974,-0.03253834239761978,-0.026687488091505108,-0.032781555391307754,-0.020898668325841592,-0.034817921729998175,-0.04187912451293471,-0.023655507816187797,-0.011884916626763014,-0.02267464907040971,-0.025585479467385513,-0.027480209306448868,-0.009994157297854552,0.006789637545008247,-0.026775323905428354,-0.012072156284503888,-0.02863963034166681,-0.0105550432631937,-0.01599603974776659,-0.009516849655770274,-0.017606124500384256,-0.03160781823286123,-0.028614979394531653,-0.15204448121946462
anger,-0.06013282300886611,-0.038484842713269025,1.0,0.1006563461101111,-0.04834250493291368,-0.0255569399161468,-0.02881354047619521,-0.03635244191263087,-0.018781208150459132,-0.010081746815941782,-0.01820247716039328,0.022190403060469984,-0.008995352221688941,-0.027218983057770072,-0.018941915744214603,-0.0432837897524486,-0.008149537465806695,-0.033487264907792774,-0.03671379403242583,-0.008811581759542329,-0.0334142965269585,-0.00798252160495861,-0.026906161089261384,-0.007813432992806294,-0.018048015990278138,-0.023002688361301746,-0.02302021574581117,-0.11678597164582093
annoyance,-0.07203378296235124,-0.041034718780734385,0.1006563461101111,1.0,-0.05343108621863966,-0.03104340349869224,-0.028676198598453193,-0.03575791886441739,-0.022184231587474627,0.02350711949890543,0.027965541064184148,0.02423028556731775,-0.009954860406668493,-0.0322632158576351,-0.019260352732093856,-0.05538340083022291,-0.004675783432188976,-0.04266933070158575,-0.04853172369298767,-0.013964575666372391,-0.03633737487097333,-0.009481633888466704,-0.025113475775410597,-0.008763189380641185,-0.02170595798764223,-0.027807382755179813,-0.03331659097320804,-0.14159730384865687
approval,-0.01252938217309424,-0.039332696764217974,-0.04834250493291368,-0.05343108621863966,1.0,-0.0034607789492935165,-0.03883709576971893,-0.04495378186080883,-0.019082590694429143,-0.03461989083446825,-0.05208030372209002,-0.029665384459556257,-0.020755476113695208,-0.02043725038547735,-0.02542844272932322,-0.04735657781244786,-0.011366651753934264,-0.026804117734597163,-0.03513693892409011,-0.01319336132911726,-0.004403093557997551,-0.0009294934945091593,-0.001349182366284656,0.0008026055710000727,-0.0215389624153013,-0.04271344179418096,-0.03427365053920232,-0.14816733048614783
caring,-0.036012732767064674,-0.03253834239761978,-0.0255569399161468,-0.03104340349869224,-0.0034607789492935165,1.0,-0.026045166101865514,-0.02793044204676204,-0.005150665126603124,-0.018892099562792475,-0.02611567124159282,-0.01963997930322526,-0.010619607066358411,-0.020120036359377473,-0.012301337229792307,-0.0274179381828868,0.001583297967874105,-0.013958493862291348,-0.007320392571235054,0.0013841218344872218,0.03501232763613748,-0.00825912507286489,-0.012668075753659653,0.004843807432570879,0.005364242559028387,-0.004249705605075433,-0.02328336972322127,-0.09353468305792872
confusion,-0.04700847032222273,-0.026687488091505108,-0.02881354047619521,-0.028676198598453193,-0.03883709576971893,-0.026045166101865514,1.0,0.08254939905878711,-0.02006377162875078,-0.020148824433651635,-0.026835393088865987,-0.020662042499517853,-0.01101805398587078,-0.021212580788416494,-0.013170455990558853,-0.03442942074187155,-0.007508697527386511,-0.026917588034428827,-0.03430308216207975,-0.007613427065262392,-0.029550926906504453,-0.009136032819175145,-0.011239342529386966,-0.008502949897654578,-0.01413068595943005,-0.027585146827859355,-0.008967006553458287,-0.09743924982995167
curiosity,-0.05111075277210716,-0.032781555391307754,-0.03635244191263087,-0.03575791886441739,-0.04495378186080883,-0.02793044204676204,0.08254939905878711,1.0,-0.01693564429779026,-0.0288097067409375,-0.037485299855264886,-0.02297157378847033,-0.00694716544041015,-0.0164016488476251,-0.01958690710742092,-0.04657867832759675,-0.00967653425812157,-0.03387313789128297,-0.0390080776108901,-0.00879412712226215,-0.031164789600268267,-0.011773697666690305,-0.01733364198139505,-0.010414159233175397,-0.011911470503589476,-0.02701382925523896,0.001232971446123325,-0.13127018231814927
desire,-0.020179087370332156,-0.020898668325841592,-0.018781208150459132,-0.022184231587474627,-0.019082590694429143,-0.005150665126603124,-0.02006377162875078,-0.01693564429779026,1.0,-0.008505870466954944,-0.023764012638268706,-0.013495520106552725,-0.010210882023362382,-0.0028029226837944367,-0.013330396060147921,-0.02201278440026512,0.0021196166629849304,-0.015720762734709747,-0.003611419254368271,-0.005119944890930574,0.041467384140879,-0.00626981783917958,-0.007178124392839456,-0.007100795323362729,-0.010906027559556587,-0.006264701905590668,-0.017425893227616437,-0.07597901679194984
disappointment,-0.04397955985148483,-0.034817921729998175,-0.010081746815941782,0.02350711949890543,-0.03461989083446825,-0.018892099562792475,-0.020148824433651635,-0.0288097067409375,-0.008505870466954944,1.0,-0.005811071850785526,-0.003682782891895263,0.004045127179670625,-0.020402865398347885,-0.01235035717370717,-0.03917792154213105,0.0057311946403918465,-0.027672751183872975,-0.03251944075444703,0.0016517340490528783,-0.023176190684738373,-0.00887930226369623,-0.0030004760153741184,-0.010056130753079014,-0.0024973321115710546,0.07426779696445293,-0.016146603375974372,-0.10207410886813395
disapproval,-0.06622482391007822,-0.04187912451293471,-0.01820247716039328,0.027965541064184148,-0.05208030372209002,-0.02611567124159282,-0.026835393088865987,-0.037485299855264886,-0.023764012638268706,-0.005811071850785526,1.0,-0.0007567505062019713,-0.013416313771967866,-0.029537954080157813,-0.023765796592826335,-0.050709380230899874,-0.009407897375880428,-0.03781689871908803,-0.040524281608116344,-0.011060050762915621,-0.03050092254283445,-0.009752061036429728,-0.017440769316381558,-0.005476196930946344,-0.019475283246950068,-0.026056612862657997,-0.032063414272463724,-0.13123309516318904
disgust,-0.03800930739172057,-0.023655507816187797,0.022190403060469984,0.02423028556731775,-0.029665384459556257,-0.01963997930322526,-0.020662042499517853,-0.02297157378847033,-0.013495520106552725,-0.003682782891895263,-0.0007567505062019713,1.0,0.0049295598534547635,-0.018405830676355046,0.0020077845480093266,-0.03268328456982216,-0.005806482768629156,-0.023147465181698558,-0.02630922103161442,-0.0019456170364213965,-0.015183049234496773,-0.007064902660506549,-0.011926232063379456,-0.005646310167504676,-0.009240570606411085,-0.013848827723942143,-0.018340716643579634,-0.08668033776466084
