label_a,label_b,correlation
fear,nervousness,0.10143077071104095
anger,annoyance,0.1006563461101111
confusion,curiosity,0.08254939905878711
disappointment,sadness,0.07426779696445293
grief,sadness,0.06721753709508296
excitement,joy,0.05499821779853035
remorse,sadness,0.04993829186856289
desire,optimism,0.041467384140879
caring,optimism,0.03501232763613748
annoyance,disapproval,0.027965541064184148
annoyance,disgust,0.02423028556731775
annoyance,disappointment,0.02350711949890543
anger,disgust,0.022190403060469984
admiration,pride,0.01924230170974559
excitement,surprise,0.019202447663445563
joy,relief,0.016106814798831463
optimism,pride,0.013150607469928447
grief,remorse,0.011192543134284074
nervousness,sadness,0.010097985930346038
amusement,joy,0.006789637545008247
joy,pride,0.006732318794606093
admiration,gratitude,0.005929390301125001
disappointment,grief,0.0057311946403918465
caring,remorse,0.005364242559028387
disgust,embarrassment,0.0049295598534547635
embarrassment,sadness,0.0049204396108855995
embarrassment,realization,0.004870442296028128
caring,relief,0.004843807432570879
embarrassment,remorse,0.004791179242789744
grief,nervousness,0.004485162638024424
disappointment,embarrassment,0.004045127179670625
excitement,pride,0.0032624786772063328
desire,grief,0.0021196166629849304
disgust,fear,0.0020077845480093266
grief,surprise,0.0018349590507476432
embarrassment,grief,0.001781588679281957
disappointment,nervousness,0.0016517340490528783
realization,surprise,0.0016089516333190979
caring,grief,0.001583297967874105
nervousness,relief,0.001559629797664048
caring,nervousness,0.0013841218344872218
curiosity,surprise,0.001232971446123325
approval,relief,0.0008026055710000727
gratitude,pride,0.0002627807634328761
embarrassment,pride,8.12869260021219e-05
gratitude,relief,-0.0004090451259100214
disapproval,disgust,-0.0007567505062019713
approval,pride,-0.0009294934945091593
optimism,remorse,-0.001214097531740636
excitement,relief,-0.001221621860236845
approval,realization,-0.001349182366284656
embarrassment,nervousness,-0.0015747606707671841
disgust,nervousness,-0.0019456170364213965
admiration,love,-0.002120579856658795
grief,pride,-0.002156400832758778
embarrassment,fear,-0.0024164541831618
grief,relief,-0.002442201885494091
nervousness,realization,-0.0024560877544211393
disappointment,remorse,-0.0024973321115710546
desire,excitement,-0.0028029226837944367
pride,relief,-0.0029714922588833844
disappointment,realization,-0.0030004760153741184
nervousness,pride,-0.0031774227270081256
approval,caring,-0.0034607789492935165
fear,sadness,-0.00356010170958124
desire,love,-0.003611419254368271
disappointment,disgust,-0.003682782891895263
joy,love,-0.0037599653529271776
nervousness,remorse,-0.00422795804855779
caring,sadness,-0.004249705605075433
admiration,excitement,-0.004251679986718133
approval,optimism,-0.004403093557997551
optimism,relief,-0.004471057212532314
excitement,optimism,-0.004501462734361344
annoyance,grief,-0.004675783432188976
admiration,joy,-0.004767212571380559
embarrassment,relief,-0.0048393043732771895
fear,grief,-0.005030858149303747
desire,nervousness,-0.005119944890930574
caring,desire,-0.005150665126603124
realization,relief,-0.005331728931820912
disapproval,relief,-0.005476196930946344
embarrassment,optimism,-0.0055288916646587935
disgust,relief,-0.005646310167504676
pride,remorse,-0.00572290107529098
pride,surprise,-0.005786543562242029
disgust,grief,-0.005806482768629156
disappointment,disapproval,-0.005811071850785526
excitement,grief,-0.0059193686010069425
fear,pride,-0.006121179471275401
desire,sadness,-0.006264701905590668
desire,pride,-0.00626981783917958
relief,remorse,-0.006481392320133281
fear,surprise,-0.006803641815035193
grief,realization,-0.006805693977142802
fear,relief,-0.006932456999226646
curiosity,embarrassment,-0.00694716544041015
disgust,pride,-0.007064902660506549
desire,relief,-0.007100795323362729
desire,realization,-0.007178124392839456
caring,love,-0.007320392571235054
grief,love,-0.007336095224487412
embarrassment,surprise,-0.007468493756101886
confusion,grief,-0.007508697527386511
confusion,nervousness,-0.007613427065262392
grief,joy,-0.0077642354623425145
anger,relief,-0.007813432992806294
nervousness,surprise,-0.007904077483449913
anger,pride,-0.00798252160495861
joy,nervousness,-0.008096400537390401
anger,grief,-0.008149537465806695
grief,optimism,-0.008183985151538566
caring,pride,-0.00825912507286489
pride,realization,-0.008280669624214096
confusion,relief,-0.008502949897654578
desire,disappointment,-0.008505870466954944
excitement,nervousness,-0.0087220965771541
annoyance,relief,-0.008763189380641185
curiosity,nervousness,-0.00879412712226215
anger,nervousness,-0.008811581759542329
nervousness,optimism,-0.008874820954965699
disappointment,pride,-0.00887930226369623
optimism,realization,-0.008946027747278658
confusion,surprise,-0.008967006553458287
anger,embarrassment,-0.008995352221688941
pride,sadness,-0.00899991191171151
gratitude,grief,-0.009020057222524433
confusion,pride,-0.009136032819175145
relief,surprise,-0.009195511746315877
disgust,remorse,-0.009240570606411085
disapproval,grief,-0.009407897375880428
annoyance,pride,-0.009481633888466704
amusement,relief,-0.009516849655770274
realization,remorse,-0.009581274547763042
love,nervousness,-0.009640903990963795
curiosity,grief,-0.00967653425812157
disapproval,pride,-0.009752061036429728
love,relief,-0.00995290483006052
annoyance,embarrassment,-0.009954860406668493
amusement,grief,-0.009994157297854552
excitement,love,-0.010019567045837355
disappointment,relief,-0.010056130753079014
anger,disappointment,-0.010081746815941782
embarrassment,excitement,-0.01011605759951236
relief,sadness,-0.01019272553885226
desire,embarrassment,-0.010210882023362382
gratitude,joy,-0.010238802703395715
curiosity,relief,-0.010414159233175397
fear,remorse,-0.01051652665435616
amusement,pride,-0.0105550432631937
admiration,grief,-0.01059167980591275
caring,embarrassment,-0.010619607066358411
desire,remorse,-0.010906027559556587
confusion,embarrassment,-0.01101805398587078
disapproval,nervousness,-0.011060050762915621
confusion,realization,-0.011239342529386966
approval,grief,-0.011366651753934264
love,pride,-0.01143519388245882
curiosity,pride,-0.011773697666690305
amusement,embarrassment,-0.011884916626763014
curiosity,remorse,-0.011911470503589476
disgust,realization,-0.011926232063379456
amusement,nervousness,-0.012072156284503888
caring,fear,-0.012301337229792307
disappointment,fear,-0.01235035717370717
fear,realization,-0.012368807499521737
admiration,approval,-0.01252938217309424
excitement,realization,-0.012550041440725
realization,sadness,-0.012618861794311449
caring,realization,-0.012668075753659653
confusion,fear,-0.013170455990558853
approval,nervousness,-0.01319336132911726
desire,fear,-0.013330396060147921
disapproval,embarrassment,-0.013416313771967866
desire,disgust,-0.013495520106552725
gratitude,nervousness,-0.013496804136443835
joy,optimism,-0.01379007212590482
disgust,sadness,-0.013848827723942143
caring,joy,-0.013958493862291348
annoyance,nervousness,-0.013964575666372391
confusion,remorse,-0.01413068595943005
embarrassment,joy,-0.014137896083276518
admiration,relief,-0.01436807296405145
excitement,remorse,-0.014498268769393549
disgust,optimism,-0.015183049234496773
excitement,fear,-0.015668350004861893
fear,optimism,-0.015716006954688905
desire,joy,-0.015720762734709747
gratitude,optimism,-0.015808598371391563
amusement,realization,-0.01599603974776659
joy,realization,-0.016042530499640578
disappointment,surprise,-0.016146603375974372
excitement,gratitude,-0.016262289032452252
curiosity,excitement,-0.0164016488476251
remorse,surprise,-0.01662990901948282
curiosity,desire,-0.01693564429779026
gratitude,remorse,-0.01699902659973944
curiosity,realization,-0.01733364198139505
desire,surprise,-0.017425893227616437
disapproval,realization,-0.017440769316381558
embarrassment,love,-0.017576982520166897
amusement,remorse,-0.017606124500384256
admiration,optimism,-0.01767204625006122
admiration,nervousness,-0.0179867407828731
optimism,sadness,-0.01799451782365264
anger,remorse,-0.018048015990278138
anger,disapproval,-0.01820247716039328
disgust,surprise,-0.018340716643579634
disgust,excitement,-0.018405830676355046
fear,joy,-0.01853181723403707
joy,surprise,-0.018543110378923252
joy,remorse,-0.018732965947348645
anger,desire,-0.018781208150459132
love,optimism,-0.018878617135878285
caring,disappointment,-0.018892099562792475
anger,fear,-0.018941915744214603
approval,desire,-0.019082590694429143
annoyance,fear,-0.019260352732093856
optimism,surprise,-0.019362376987458022
disapproval,remorse,-0.019475283246950068
curiosity,fear,-0.01958690710742092
caring,disgust,-0.01963997930322526
confusion,desire,-0.02006377162875078
caring,excitement,-0.020120036359377473
confusion,disappointment,-0.020148824433651635
admiration,desire,-0.020179087370332156
disappointment,excitement,-0.020402865398347885
approval,excitement,-0.02043725038547735
embarrassment,gratitude,-0.020551545377966603
confusion,disgust,-0.020662042499517853
approval,embarrassment,-0.020755476113695208
gratitude,realization,-0.020777342332677706
amusement,desire,-0.020898668325841592
