label,train_count,train_pct
neutral,14219,32.76
admiration,4130,9.51
approval,2939,6.77
gratitude,2662,6.13
annoyance,2470,5.69
amusement,2328,5.36
curiosity,2191,5.05
love,2086,4.81
disapproval,2022,4.66
optimism,1581,3.64
anger,1567,3.61
joy,1452,3.34
confusion,1368,3.15
sadness,1326,3.05
disappointment,1269,2.92
realization,1110,2.56
caring,1087,2.5
surprise,1060,2.44
excitement,853,1.96
disgust,793,1.83
desire,641,1.48
fear,596,1.37
remorse,545,1.26
embarrassment,303,0.7
nervousness,164,0.38
relief,153,0.35
pride,111,0.26
grief,77,0.18
